,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Company_Name,Model_Name
1858,Honda Jazz,Mumbai,2015.0,31000.0,Petrol,Manual,First,Others,5.0,4.0,4.9,18.7,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
1859,Maruti Alto,Mumbai,2016.0,24000.0,Petrol,Manual,First,White,5.0,4.0,2.8,24.7,kmpl,796.0,CC,47.3,bhp,Maruti,Alto
1860,Ford EcoSport,Coimbatore,2014.0,64637.0,Diesel,Manual,First,Black/Silver,5.0,4.0,7.52,22.77,kmpl,1498.0,CC,98.59,bhp,Ford,EcoSport
1861,Mercedes-Benz New,Jaipur,2010.0,74213.0,Diesel,Automatic,First,White,5.0,4.0,11.5,14.84,kmpl,2143.0,CC,170.0,bhp,Mercedes-Benz,New
1862,Maruti Swift,Chennai,2007.0,140000.0,Diesel,Manual,Second,Black/Silver,5.0,4.0,2.0,17.8,kmpl,1248.0,CC,75.0,bhp,Maruti,Swift
1863,Nissan Sunny,Kolkata,2012.0,47000.0,Diesel,Manual,First,Others,5.0,4.0,4.0,21.64,kmpl,1461.0,CC,84.8,bhp,Nissan,Sunny
1864,Ford EcoSport,Kochi,2017.0,30453.0,Diesel,Manual,First,Others,5.0,4.0,8.45,22.77,kmpl,1498.0,CC,98.59,bhp,Ford,EcoSport
1865,Honda City,Mumbai,2014.0,54546.0,Petrol,Manual,First,White,5.0,4.0,5.5,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
1866,Audi A6,Mumbai,2010.0,53000.0,Diesel,Automatic,First,Others,5.0,4.0,11.5,12.4,kmpl,2698.0,CC,179.5,bhp,Audi,A6
1867,Audi Q3,Delhi,2016.0,42000.0,Diesel,Automatic,First,Others,5.0,4.0,23.5,15.73,kmpl,1968.0,CC,174.33,bhp,Audi,Q3
1868,Hyundai Verna,Bangalore,2018.0,75000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,7.75,22.32,kmpl,1582.0,CC,126.32,bhp,Hyundai,Verna
1869,Ford Endeavour,Chennai,2007.0,155000.0,Diesel,Manual,First,Others,7.0,5.0,5.5,13.1,kmpl,2499.0,CC,141.0,bhp,Ford,Endeavour
1870,Ford Figo,Hyderabad,2018.0,3678.0,Petrol,Manual,First,Others,5.0,4.0,6.8,18.16,kmpl,1196.0,CC,86.8,bhp,Ford,Figo
1871,Chevrolet Beat,Kochi,2012.0,42706.0,Diesel,Manual,First,White,5.0,4.0,2.4,25.44,kmpl,936.0,CC,56.3,bhp,Chevrolet,Beat
1872,Mahindra Scorpio,Mumbai,2014.0,83128.0,Diesel,Manual,First,Black/Silver,7.0,5.0,7.45,15.4,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
1873,Toyota Innova,Mumbai,2017.0,38000.0,Diesel,Manual,First,Black/Silver,7.0,4.0,17.65,13.68,kmpl,2393.0,CC,147.8,bhp,Toyota,Innova
1874,Volkswagen Polo,Hyderabad,2015.0,62000.0,Diesel,Manual,First,White,5.0,4.0,6.25,20.14,kmpl,1498.0,CC,88.8,bhp,Volkswagen,Polo
1875,Maruti Swift,Kolkata,2015.0,36000.0,Diesel,Manual,First,White,5.0,4.0,4.7,26.59,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
1876,Renault KWID,Chennai,2018.0,14000.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,4.5,22.5,kmpl,999.0,CC,67.0,bhp,Renault,KWID
1877,Volkswagen Polo,Delhi,2014.0,32400.0,Diesel,Manual,First,Black/Silver,5.0,4.0,3.95,20.14,kmpl,1498.0,CC,88.8,bhp,Volkswagen,Polo
1878,Volkswagen Vento,Coimbatore,2014.0,56658.0,Diesel,Manual,First,Black/Silver,5.0,4.0,5.39,20.64,kmpl,1498.0,CC,108.5,bhp,Volkswagen,Vento
1879,Renault Pulse,Hyderabad,2014.0,48425.0,Diesel,Manual,First,White,5.0,4.0,3.4,23.08,kmpl,1461.0,CC,63.12,bhp,Renault,Pulse
1880,Honda Jazz,Coimbatore,2018.0,20026.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,9.27,19.0,kmpl,1199.0,CC,88.7,bhp,Honda,Jazz
1881,Hyundai Verna,Kolkata,2018.0,5000.0,Petrol,Manual,First,White,5.0,4.0,8.7,17.0,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
1882,Audi Q3,Coimbatore,2017.0,42366.0,Diesel,Automatic,First,Others,5.0,4.0,31.93,15.73,kmpl,1968.0,CC,174.33,bhp,Audi,Q3
1883,Toyota Fortuner,Delhi,2015.0,40000.0,Diesel,Manual,Second,White,7.0,5.0,18.75,13.0,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
1884,Hyundai i20,Delhi,2010.0,62489.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.6,17.0,kmpl,1197.0,CC,80.0,bhp,Hyundai,i20
1885,Mercedes-Benz New,Jaipur,2013.0,81456.0,Diesel,Manual,First,Others,5.0,4.0,14.25,15.8,kmpl,2148.0,CC,170.0,bhp,Mercedes-Benz,New
1886,Tata Indigo,Delhi,2011.0,80000.0,Diesel,Manual,First,White,5.0,4.0,1.2,23.57,kmpl,1396.0,CC,70.0,bhp,Tata,Indigo
1887,Volkswagen Polo,Hyderabad,2012.0,62000.0,Diesel,Manual,First,White,5.0,4.0,4.65,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
1888,Mercedes-Benz E-Class,Coimbatore,2018.0,56652.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,50.29,13.0,kmpl,2987.0,CC,258.0,bhp,Mercedes-Benz,E-Class
1889,Hyundai Grand,Coimbatore,2019.0,12153.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,6.84,18.9,kmpl,1197.0,CC,81.86,bhp,Hyundai,Grand
1890,Audi Q7,Bangalore,2015.0,21000.0,Diesel,Automatic,Second,White,7.0,5.0,52.5,12.07,kmpl,2967.0,CC,241.4,bhp,Audi,Q7
1891,Audi A4,Kolkata,2013.0,60001.0,Diesel,Automatic,First,Others,5.0,4.0,14.5,17.11,kmpl,1968.0,CC,174.33,bhp,Audi,A4
1892,Toyota Innova,Delhi,2010.0,72000.0,Diesel,Manual,First,Others,8.0,5.0,5.45,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
1893,Volkswagen Polo,Mumbai,2014.0,7000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.35,16.47,kmpl,1198.0,CC,74.0,bhp,Volkswagen,Polo
1894,Maruti Wagon,Pune,2006.0,52000.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,2.0,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
1895,BMW 3,Mumbai,2015.0,56087.0,Diesel,Automatic,First,White,5.0,4.0,20.75,22.69,kmpl,1995.0,CC,190.0,bhp,BMW,3
1896,Mercedes-Benz S-Class,Chennai,2003.0,111000.0,Petrol,Automatic,First,Others,5.0,4.0,6.5,13.0,kmpl,2987.0,CC,210.0,bhp,Mercedes-Benz,S-Class
1897,Ford Figo,Kolkata,2012.0,41284.0,Diesel,Manual,First,White,5.0,4.0,2.5,20.0,kmpl,1399.0,CC,68.05,bhp,Ford,Figo
1898,Tata Zest,Kolkata,2015.0,7445.0,Petrol,Manual,First,Others,5.0,4.0,5.0,17.57,kmpl,1193.0,CC,88.7,bhp,Tata,Zest
1899,Mahindra Scorpio,Bangalore,2007.0,74112.0,Diesel,Manual,First,White,9.0,5.0,4.1,12.05,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
1900,Maruti Alto,Hyderabad,2011.0,81000.0,Petrol,Manual,First,Others,5.0,4.0,2.2,20.92,kmpl,998.0,CC,67.1,bhp,Maruti,Alto
1901,Volkswagen Polo,Kolkata,2013.0,24000.0,Petrol,Manual,First,Others,5.0,4.0,2.95,16.47,kmpl,1198.0,CC,73.9,bhp,Volkswagen,Polo
1902,Hyundai Verna,Kolkata,2012.0,24000.0,Petrol,Manual,Second,Black/Silver,5.0,4.0,6.2,17.01,kmpl,1591.0,CC,121.3,bhp,Hyundai,Verna
1903,Ford Fusion,Hyderabad,2008.0,75000.0,Diesel,Manual,Second,Black/Silver,5.0,4.0,3.0,17.7,kmpl,1399.0,CC,68.0,bhp,Ford,Fusion
1904,Hyundai Grand,Kochi,2018.0,46493.0,Petrol,Manual,First,Black/Silver,5.0,4.0,5.53,18.9,kmpl,1197.0,CC,81.86,bhp,Hyundai,Grand
1905,Hyundai i10,Pune,2010.0,72400.0,Petrol,Manual,Second,White,5.0,4.0,2.3,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
1906,Maruti Ciaz,Coimbatore,2017.0,25142.0,Diesel,Manual,First,Others,5.0,4.0,8.26,28.09,kmpl,1248.0,CC,88.5,bhp,Maruti,Ciaz
1907,Hyundai Santro,Bangalore,2004.0,167000.0,Petrol,Manual,First,Others,5.0,4.0,1.35,0.0,kmpl,1086.0,CC,98.59,bhp,Hyundai,Santro
1908,Maruti Swift,Delhi,2015.0,40000.0,Diesel,Manual,Second,Others,5.0,4.0,4.5,26.59,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
1909,Hyundai EON,Kochi,2017.0,46897.0,Petrol,Manual,First,Others,5.0,4.0,3.61,21.1,kmpl,814.0,CC,55.2,bhp,Hyundai,EON
1910,Volkswagen Polo,Chennai,2017.0,25000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.9,20.14,kmpl,1498.0,CC,88.0,bhp,Volkswagen,Polo
1911,Maruti Swift,Kolkata,2014.0,42109.0,Diesel,Manual,First,White,5.0,4.0,4.25,23.4,kmpl,1248.0,CC,74.0,bhp,Maruti,Swift
1912,Maruti Wagon,Kolkata,2014.0,40000.0,Petrol,Manual,First,Others,5.0,4.0,2.49,20.51,kmpl,998.0,CC,67.04,bhp,Maruti,Wagon
1913,Maruti Wagon,Delhi,2014.0,65694.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.25,18.9,kmpl,998.0,CC,67.1,bhp,Maruti,Wagon
1914,BMW X1,Bangalore,2016.0,45000.0,Diesel,Automatic,First,White,5.0,4.0,28.5,17.05,kmpl,1995.0,CC,184.0,bhp,BMW,X1
1915,Mahindra XUV500,Kolkata,2013.0,43000.0,Diesel,Manual,First,Others,7.0,5.0,7.0,16.0,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
1916,Maruti Swift,Delhi,2013.0,47000.0,Diesel,Manual,First,White,5.0,4.0,4.1,17.8,kmpl,1248.0,CC,98.59,bhp,Maruti,Swift
1917,Hyundai i10,Kochi,2010.0,30566.0,Petrol,Automatic,First,White,5.0,4.0,3.32,19.2,kmpl,1197.0,CC,80.0,bhp,Hyundai,i10
1918,Toyota Fortuner,Coimbatore,2019.0,56251.0,Diesel,Manual,First,Black/Silver,7.0,5.0,35.82,14.24,kmpl,2755.0,CC,174.5,bhp,Toyota,Fortuner
1919,Maruti Ciaz,Mumbai,2015.0,41000.0,Petrol,Manual,First,White,5.0,4.0,5.85,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
1920,Hyundai Grand,Kolkata,2014.0,37000.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.5,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
1921,Audi Q7,Bangalore,2014.0,50000.0,Diesel,Automatic,First,Others,7.0,5.0,51.0,11.33,kmpl,4134.0,CC,335.2,bhp,Audi,Q7
1922,Honda City,Pune,2012.0,60000.0,Petrol,Automatic,First,White,5.0,4.0,5.5,16.8,kmpl,1497.0,CC,118.0,bhp,Honda,City
1923,Volkswagen Polo,Hyderabad,2014.0,74000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,5.7,22.07,kmpl,1199.0,CC,73.9,bhp,Volkswagen,Polo
1924,Isuzu MUX,Jaipur,2017.0,34429.0,Diesel,Automatic,First,Black/Silver,7.0,5.0,20.0,13.8,kmpl,2999.0,CC,174.57,bhp,Isuzu,MUX
1925,Honda CR-V,Chennai,2004.0,135000.0,Petrol,Automatic,Third,White,5.0,4.0,3.0,14.4,kmpl,1997.0,CC,152.0,bhp,Honda,CR-V
1926,Audi Q5,Coimbatore,2017.0,43827.0,Diesel,Automatic,First,White,5.0,4.0,36.83,13.22,kmpl,2967.0,CC,241.4,bhp,Audi,Q5
1927,Volkswagen Polo,Delhi,2012.0,52000.0,Petrol,Manual,First,Others,5.0,4.0,3.1,16.47,kmpl,1198.0,CC,73.9,bhp,Volkswagen,Polo
1928,Mercedes-Benz E-Class,Kochi,2016.0,46936.0,Diesel,Automatic,First,White,5.0,4.0,29.6,13.0,kmpl,2143.0,CC,204.0,bhp,Mercedes-Benz,E-Class
1929,Ford Fiesta,Chennai,2007.0,100000.0,Petrol,Manual,First,White,5.0,4.0,1.6,16.6,kmpl,1388.0,CC,68.0,bhp,Ford,Fiesta
1930,Ford Fiesta,Bangalore,2011.0,85000.0,Diesel,Manual,First,Black/Silver,5.0,4.0,3.2,17.8,kmpl,1399.0,CC,68.0,bhp,Ford,Fiesta
1931,Volkswagen Polo,Pune,2010.0,70290.0,Petrol,Manual,Second,Others,5.0,4.0,2.96,17.24,kmpl,1198.0,CC,73.9,bhp,Volkswagen,Polo
1932,Hyundai Grand,Coimbatore,2016.0,61578.0,Petrol,Manual,First,White,5.0,4.0,6.4,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
1933,Mini Cooper,Pune,2012.0,37000.0,Petrol,Automatic,Second,White,4.0,4.0,17.0,13.6,kmpl,1598.0,CC,181.0,bhp,Mini,Cooper
1934,Audi A4,Coimbatore,2013.0,58629.0,Diesel,Automatic,Second,White,5.0,4.0,16.52,18.25,kmpl,1493.0,CC,98.59,bhp,Audi,A4
1935,Hyundai Verna,Jaipur,2011.0,72000.0,Diesel,Manual,First,Others,5.0,4.0,5.0,22.32,kmpl,1582.0,CC,126.3,bhp,Hyundai,Verna
1936,Maruti Celerio,Pune,2015.0,50000.0,Petrol,Automatic,First,Others,5.0,4.0,3.9,23.1,kmpl,998.0,CC,67.04,bhp,Maruti,Celerio
1937,Hyundai i10,Hyderabad,2012.0,53000.0,Petrol,Manual,First,Others,5.0,4.0,3.2,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
1938,Volkswagen Vento,Pune,2012.0,115000.0,Diesel,Manual,Second,Others,5.0,4.0,4.33,20.54,kmpl,1598.0,CC,103.6,bhp,Volkswagen,Vento
1939,Mercedes-Benz New,Delhi,2012.0,38000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,13.51,14.84,kmpl,2143.0,CC,170.0,bhp,Mercedes-Benz,New
1940,Tata Indica,Hyderabad,2014.0,133944.0,Diesel,Manual,Second,White,5.0,4.0,3.5,18.0,kmpl,1248.0,CC,75.0,bhp,Tata,Indica
1941,Honda City,Delhi,2015.0,51000.0,Petrol,Automatic,First,White,5.0,4.0,7.9,18.0,kmpl,1497.0,CC,117.3,bhp,Honda,City
1942,Tata Indica,Chennai,2017.0,100400.0,Diesel,Manual,First,White,5.0,4.0,2.85,25.0,kmpl,1396.0,CC,69.0,bhp,Tata,Indica
1943,Ford Figo,Mumbai,2016.0,18000.0,Petrol,Manual,First,Others,5.0,4.0,4.9,18.16,kmpl,1196.0,CC,86.8,bhp,Ford,Figo
1944,Mahindra XUV500,Coimbatore,2016.0,56532.0,Diesel,Manual,First,White,7.0,5.0,15.54,16.0,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
1945,Hyundai Grand,Kochi,2015.0,66337.0,Diesel,Manual,First,Others,5.0,4.0,4.96,24.0,kmpl,1120.0,CC,70.0,bhp,Hyundai,Grand
1946,BMW 7,Kochi,2010.0,50161.0,Petrol,Automatic,First,Others,5.0,4.0,25.93,8.77,kmpl,4395.0,CC,402.0,bhp,BMW,7
1947,Hyundai Grand,Pune,2015.0,32000.0,Petrol,Automatic,First,White,5.0,4.0,4.8,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
1948,Mini Cooper,Kochi,2019.0,14857.0,Diesel,Automatic,First,White,5.0,4.0,31.55,20.7,kmpl,1496.0,CC,113.98,bhp,Mini,Cooper
1949,Volkswagen Jetta,Chennai,2009.0,85000.0,Diesel,Manual,Second,Others,5.0,4.0,3.5,15.0,kmpl,1896.0,CC,105.0,bhp,Volkswagen,Jetta
1950,BMW 7,Kolkata,2012.0,41100.0,Diesel,Automatic,First,Others,5.0,4.0,26.5,16.77,kmpl,2993.0,CC,261.49,bhp,BMW,7
1951,Maruti Wagon,Kochi,2018.0,27413.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,5.18,20.51,kmpl,998.0,CC,67.0,bhp,Maruti,Wagon
1952,Mahindra XUV500,Coimbatore,2017.0,64961.0,Diesel,Manual,First,Black/Silver,7.0,5.0,16.13,16.0,kmpl,2179.0,CC,140.0,bhp,Mahindra,XUV500
1953,Jaguar XF,Mumbai,2018.0,3000.0,Diesel,Automatic,First,White,5.0,4.0,52.5,16.36,kmpl,2179.0,CC,187.7,bhp,Jaguar,XF
1954,BMW 3,Hyderabad,2015.0,47000.0,Diesel,Automatic,First,Others,5.0,4.0,29.5,22.69,kmpl,1995.0,CC,190.0,bhp,BMW,3
1955,Maruti Alto,Kolkata,2013.0,24027.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.01,24.7,kmpl,796.0,CC,47.3,bhp,Maruti,Alto
1956,Mahindra TUV,Kochi,2017.0,47357.0,Diesel,Automatic,First,White,7.0,5.0,8.37,18.49,kmpl,1493.0,CC,100.0,bhp,Mahindra,TUV
1957,Hyundai EON,Kochi,2017.0,8243.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.21,21.1,kmpl,814.0,CC,55.2,bhp,Hyundai,EON
1958,BMW X6,Jaipur,2013.0,45306.0,Diesel,Automatic,Second,Others,4.0,4.0,42.5,11.2,kmpl,2993.0,CC,241.0,bhp,BMW,X6
1959,Honda City,Kochi,2016.0,84580.0,Diesel,Manual,First,Black/Silver,5.0,4.0,6.83,26.0,kmpl,1498.0,CC,98.6,bhp,Honda,City
1960,Hyundai Elantra,Coimbatore,2015.0,53615.0,Diesel,Manual,First,White,5.0,4.0,8.44,22.7,kmpl,1582.0,CC,126.24,bhp,Hyundai,Elantra
1961,Hyundai i20,Kolkata,2015.0,32000.0,Petrol,Manual,First,White,5.0,4.0,4.8,18.6,kmpl,1197.0,CC,81.83,bhp,Hyundai,i20
1962,Maruti Ciaz,Kolkata,2015.0,25470.0,Petrol,Manual,First,White,5.0,4.0,5.9,20.73,kmpl,1373.0,CC,91.1,bhp,Maruti,Ciaz
1963,Mahindra KUV,Coimbatore,2017.0,24806.0,Petrol,Manual,First,Black/Silver,6.0,4.0,5.6,18.15,kmpl,1198.0,CC,82.0,bhp,Mahindra,KUV
1964,Hyundai i10,Coimbatore,2011.0,50436.0,Petrol,Manual,First,Black/Silver,5.0,4.0,3.65,20.36,kmpl,1197.0,CC,78.9,bhp,Hyundai,i10
1965,Renault Duster,Coimbatore,2017.0,34686.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,11.86,19.6,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
1966,Volkswagen Ameo,Mumbai,2017.0,51000.0,Diesel,Manual,First,Others,5.0,4.0,6.45,21.66,kmpl,1498.0,CC,108.62,bhp,Volkswagen,Ameo
1967,Honda City,Hyderabad,2016.0,36891.0,Petrol,Manual,First,White,5.0,4.0,10.49,17.8,kmpl,1497.0,CC,117.3,bhp,Honda,City
1968,Honda City,Pune,2014.0,43772.0,Petrol,Manual,First,Others,5.0,4.0,6.35,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
1969,Ford Fiesta,Hyderabad,2011.0,143143.0,Diesel,Manual,First,Others,5.0,4.0,2.1,17.8,kmpl,1399.0,CC,67.0,bhp,Ford,Fiesta
1970,Mini Cooper,Mumbai,2013.0,21000.0,Petrol,Automatic,First,Others,4.0,4.0,21.5,17.44,kmpl,1998.0,CC,189.08,bhp,Mini,Cooper
1971,Tata Zest,Chennai,2015.0,40000.0,Petrol,Manual,First,Others,5.0,4.0,4.0,17.57,kmpl,1193.0,CC,88.7,bhp,Tata,Zest
1972,Maruti Ciaz,Kochi,2016.0,25418.0,Petrol,Manual,First,White,5.0,4.0,7.09,20.73,kmpl,1373.0,CC,91.2,bhp,Maruti,Ciaz
1973,Mercedes-Benz S-Class,Coimbatore,2007.0,84143.0,Petrol,Manual,First,Black/Silver,5.0,4.0,17.09,13.0,kmpl,2987.0,CC,210.0,bhp,Mercedes-Benz,S-Class
1974,Maruti Ritz,Hyderabad,2012.0,96000.0,Diesel,Manual,First,White,5.0,4.0,3.6,21.1,kmpl,1248.0,CC,73.9,bhp,Maruti,Ritz
1975,Maruti Ertiga,Mumbai,2014.0,69192.0,Petrol,Manual,First,Black/Silver,7.0,5.0,6.25,16.02,kmpl,1373.0,CC,93.7,bhp,Maruti,Ertiga
1976,Skoda Rapid,Hyderabad,2013.0,55000.0,Diesel,Manual,First,Others,5.0,4.0,8.0,20.5,kmpl,1598.0,CC,103.5,bhp,Skoda,Rapid
1977,Renault Duster,Coimbatore,2016.0,65257.0,Diesel,Manual,First,Others,5.0,4.0,9.75,19.01,kmpl,1461.0,CC,108.45,bhp,Renault,Duster
1978,Jaguar XF,Kochi,2015.0,47759.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,31.8,14.74,kmpl,2993.0,CC,270.9,bhp,Jaguar,XF
1979,Maruti Ritz,Kolkata,2011.0,77400.0,Diesel,Manual,First,Black/Silver,5.0,4.0,2.5,21.1,kmpl,1248.0,CC,73.9,bhp,Maruti,Ritz
1980,Honda Amaze,Hyderabad,2018.0,12000.0,Diesel,Manual,First,Others,5.0,4.0,8.5,27.4,kmpl,1498.0,CC,98.6,bhp,Honda,Amaze
1981,Toyota Innova,Ahmedabad,2014.0,55000.0,Diesel,Manual,First,Others,7.0,4.0,11.11,12.99,kmpl,2494.0,CC,100.6,bhp,Toyota,Innova
1982,Honda City,Hyderabad,2016.0,28414.0,Petrol,Manual,First,Black/Silver,5.0,4.0,8.4,17.0,kmpl,1497.0,CC,118.0,bhp,Honda,City
1983,Hyundai Creta,Coimbatore,2017.0,50170.0,Diesel,Automatic,First,Others,5.0,4.0,14.79,17.01,kmpl,1582.0,CC,126.2,bhp,Hyundai,Creta
1984,Nissan Micra,Mumbai,2013.0,69000.0,Diesel,Manual,First,Others,5.0,4.0,3.0,23.08,kmpl,1461.0,CC,63.1,bhp,Nissan,Micra
1985,Honda City,Ahmedabad,2014.0,75000.0,Diesel,Manual,First,White,5.0,4.0,6.0,26.0,kmpl,1498.0,CC,98.6,bhp,Honda,City
1986,Mercedes-Benz GL-Class,Mumbai,2015.0,48600.0,Diesel,Automatic,First,White,7.0,5.0,48.5,12.0,kmpl,2987.0,CC,224.0,bhp,Mercedes-Benz,GL-Class
1987,Toyota Fortuner,Delhi,2011.0,60000.0,Diesel,Manual,First,Black/Silver,7.0,5.0,10.85,11.5,kmpl,2982.0,CC,171.0,bhp,Toyota,Fortuner
1988,Mercedes-Benz New,Bangalore,2013.0,51000.0,Diesel,Manual,First,White,5.0,4.0,18.5,15.8,kmpl,2148.0,CC,170.0,bhp,Mercedes-Benz,New
1989,Land Rover Range,Kochi,2015.0,38467.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,70.66,12.65,kmpl,2993.0,CC,255.0,bhp,Land rover, Range rover
1990,Mercedes-Benz GLA,Bangalore,2017.0,16500.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,34.0,17.9,kmpl,2143.0,CC,136.0,bhp,Mercedes-Benz,GLA
1991,Hyundai i20,Bangalore,2014.0,68010.0,Petrol,Manual,Second,Others,5.0,4.0,5.25,18.5,kmpl,1197.0,CC,82.85,bhp,Hyundai,i20
1992,Maruti Swift,Bangalore,2013.0,23000.0,Diesel,Manual,First,White,5.0,4.0,5.6,17.8,kmpl,1248.0,CC,98.59,bhp,Maruti,Swift
1993,Audi A4,Kolkata,2010.0,30000.0,Diesel,Automatic,First,White,5.0,4.0,9.8,14.94,kmpl,2967.0,CC,241.4,bhp,Audi,A4
1994,BMW 5,Hyderabad,2007.0,120000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,10.5,16.73,kmpl,1995.0,CC,218.0,bhp,BMW,5
1995,Maruti Vitara,Kochi,2017.0,45362.0,Diesel,Manual,First,White,5.0,4.0,9.38,24.3,kmpl,1248.0,CC,88.5,bhp,Maruti,Vitara
1996,Maruti SX4,Mumbai,2010.0,72000.0,Petrol,Manual,First,Others,5.0,4.0,2.4,15.5,kmpl,1586.0,CC,103.3,bhp,Maruti,SX4
1997,Maruti Ritz,Coimbatore,2013.0,57717.0,Petrol,Manual,First,White,5.0,4.0,4.31,18.5,kmpl,1197.0,CC,85.8,bhp,Maruti,Ritz
1998,Ford Figo,Pune,2011.0,95000.0,Diesel,Manual,Third,Others,5.0,4.0,2.35,20.0,kmpl,1399.0,CC,68.0,bhp,Ford,Figo
1999,Maruti Ertiga,Pune,2017.0,121000.0,Diesel,Manual,First,Others,7.0,5.0,8.0,24.52,kmpl,1248.0,CC,88.5,bhp,Maruti,Ertiga
2000,Hyundai Grand,Mumbai,2017.0,33000.0,Diesel,Manual,First,White,5.0,4.0,4.75,24.0,kmpl,1120.0,CC,70.0,bhp,Hyundai,Grand
2001,Hyundai Grand,Coimbatore,2018.0,20492.0,Petrol,Manual,First,Others,5.0,4.0,6.34,18.9,kmpl,1197.0,CC,82.0,bhp,Hyundai,Grand
2002,Honda City,Mumbai,2015.0,32896.0,Petrol,Automatic,First,White,5.0,4.0,8.9,18.0,kmpl,1497.0,CC,117.3,bhp,Honda,City
2003,Honda City,Kolkata,2008.0,69000.0,Petrol,Manual,First,White,5.0,4.0,2.7,17.7,kmpl,1497.0,CC,78.0,bhp,Honda,City
2004,Toyota Etios,Delhi,2014.0,104000.0,Diesel,Manual,First,White,5.0,4.0,3.0,23.59,kmpl,1364.0,CC,67.06,bhp,Toyota,Etios
2005,Hyundai Santro,Pune,2007.0,70000.0,Petrol,Manual,First,White,5.0,4.0,1.12,0.0,kmpl,1086.0,CC,98.59,bhp,Hyundai,Santro
2006,Jaguar XF,Coimbatore,2015.0,44194.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,32.8,16.36,kmpl,2179.0,CC,187.7,bhp,Jaguar,XF
2007,Hyundai Creta,Hyderabad,2016.0,33000.0,Diesel,Automatic,First,Black/Silver,5.0,4.0,14.5,17.01,kmpl,1582.0,CC,126.2,bhp,Hyundai,Creta
2008,Fiat Linea,Jaipur,2011.0,48500.0,Petrol,Manual,First,Black/Silver,5.0,4.0,2.5,16.0,kmpl,1368.0,CC,90.0,bhp,Fiat,Linea
2009,Ford EcoSport,Hyderabad,2016.0,60924.0,Petrol,Automatic,First,Others,5.0,4.0,8.3,15.63,kmpl,1499.0,CC,110.4,bhp,Ford,EcoSport
2010,Volkswagen Polo,Ahmedabad,2013.0,39000.0,Petrol,Manual,First,Others,5.0,4.0,3.75,16.47,kmpl,1198.0,CC,74.0,bhp,Volkswagen,Polo
2011,Audi A4,Mumbai,2011.0,53000.0,Petrol,Automatic,First,Black/Silver,5.0,4.0,9.5,12.3,kmpl,1781.0,CC,163.2,bhp,Audi,A4
2012,Maruti Ritz,Mumbai,2014.0,59451.0,Petrol,Manual,First,Others,5.0,4.0,3.69,18.5,kmpl,1197.0,CC,85.8,bhp,Maruti,Ritz
